EPC,TIMESTAMP,RSSI
53,1505095448,-63
1122,1505095448,-56.5
1122,1505095448,-56.5
53,1505095448,-64
50,1505095448,-67.5
8,1505095448,-68
2212,1505095448,-62.5
8,1505095448,-68
50,1505095448,-68
2212,1505095448,-65.5
53,1505095448,-64
1122,1505095448,-56
53,1505095448,-63
1122,1505095448,-56.5
2212,1505095448,-62.5
50,1505095448,-68.5
3313,1505095448,-68.5
1122,1505095448,-56.5
53,1505095448,-64
53,1505095448,-64.5
1122,1505095448,-56
53,1505095448,-64
1122,1505095448,-56.5
50,1505095448,-68
2212,1505095448,-62.5
50,1505095448,-68
3313,1505095449,-67.5
1122,1505095449,-56
53,1505095449,-64
1122,1505095449,-56.5
53,1505095449,-63.5
2212,1505095449,-62.5
3309,1505095449,-69
2201,1505095449,-64
3313,1505095449,-68
1122,1505095449,-55.5
53,1505095449,-64.5
53,1505095449,-63
1122,1505095449,-56.5
2212,1505095449,-63
3313,1505095449,-67.5
3309,1505095449,-69.5
3309,1505095449,-69
3313,1505095449,-68
53,1505095449,-64
1122,1505095449,-56
53,1505095449,-63.5
1122,1505095449,-56
50,1505095449,-68
3313,1505095449,-68
3309,1505095449,-69
3309,1505095449,-69
53,1505095449,-63.5
1122,1505095449,-57
1103,1505095449,-61
1122,1505095449,-56.5
53,1505095449,-63
3313,1505095450,-68
3309,1505095450,-68.5
2201,1505095450,-63.5
1122,1505095450,-56
53,1505095450,-63.5
1122,1505095450,-56
53,1505095450,-64
2212,1505095450,-63.5
50,1505095450,-68
2201,1505095450,-64
3313,1505095450,-68
1122,1505095450,-56
53,1505095450,-64.5
53,1505095450,-63.5
1122,1505095450,-56
35,1505095450,-66.5
41,1505095450,-69
50,1505095450,-67.5
3309,1505095450,-68.5
1122,1505095450,-56
53,1505095450,-63.5
53,1505095450,-63
1122,1505095450,-56
41,1505095450,-68.5
2201,1505095451,-63.5
53,1505095451,-63
1122,1505095451,-55.5
50,1505095451,-67
1122,1505095451,-56.5
53,1505095451,-64
50,1505095451,-67.5
35,1505095451,-66
3309,1505095451,-69
53,1505095451,-63.5
1122,1505095451,-56.5
1122,1505095451,-56.5
53,1505095451,-62.5
8,1505095451,-66
3309,1505095451,-68.5
1122,1505095451,-57
53,1505095451,-63.5
1122,1505095451,-56.5
53,1505095451,-63.5
3313,1505095451,-68
50,1505095451,-67.5
2212,1505095451,-63
50,1505095451,-67.5
8,1505095451,-67
53,1505095451,-63.5
1122,1505095451,-58
53,1505095451,-62.5
50,1505095451,-67.5
3313,1505095451,-68
2212,1505095451,-63
3313,1505095451,-68
53,1505095452,-63.5
1122,1505095452,-57
1122,1505095452,-57
53,1505095452,-63
3313,1505095452,-68.5
50,1505095452,-68
2201,1505095452,-64.5
8,1505095452,-68
3309,1505095452,-69.5
1122,1505095452,-56
53,1505095452,-63
53,1505095452,-64
1122,1505095452,-55.5
2212,1505095452,-63.5
1122,1505095452,-56
53,1505095452,-63.5
1122,1505095452,-56.5
53,1505095452,-62.5
2212,1505095452,-63.5
50,1505095452,-67.5
3313,1505095452,-68.5
3309,1505095452,-68.5
1122,1505095452,-56.5
53,1505095452,-64
1122,1505095452,-56
53,1505095452,-63
2212,1505095452,-63
3313,1505095453,-68.5
3309,1505095453,-68.5
53,1505095453,-62.5
1122,1505095453,-55.5
1103,1505095453,-61.5
53,1505095453,-64
1122,1505095453,-56
8,1505095453,-66.5
2212,1505095453,-62.5
53,1505095453,-63.5
1122,1505095453,-55.5
53,1505095453,-64
1122,1505095453,-55.5
2212,1505095453,-62
50,1505095453,-66.5
50,1505095453,-66.5
2212,1505095453,-62.5
53,1505095453,-63.5
1122,1505095453,-56.5
53,1505095453,-63
1122,1505095453,-56
8,1505095453,-66
2212,1505095453,-62.5
53,1505095453,-62.5
1122,1505095453,-56
1122,1505095453,-56.5
53,1505095453,-63.5
2212,1505095453,-62
8,1505095453,-68
50,1505095454,-67
2212,1505095454,-62
53,1505095454,-62
1122,1505095454,-56
1122,1505095454,-56.5
53,1505095454,-63
2212,1505095454,-62
41,1505095454,-68.5
50,1505095454,-66
2212,1505095454,-61.5
1122,1505095454,-56.5
53,1505095454,-62.5
8,1505095454,-65.5
53,1505095454,-62.5
8,1505095454,-65
1122,1505095454,-57.5
2212,1505095454,-62
50,1505095454,-65.5
41,1505095454,-68
50,1505095454,-66
53,1505095454,-62.5
8,1505095454,-64.5
1122,1505095454,-58.5
1103,1505095454,-59.5
53,1505095454,-62
2212,1505095454,-62
50,1505095454,-66
50,1505095454,-65.5
46,1505095454,-69.5
2212,1505095454,-62.5
8,1505095455,-63.5
1122,1505095455,-56.5
1103,1505095455,-57.5
53,1505095455,-62
50,1505095455,-67.5
53,1505095455,-62
8,1505095455,-63.5
1122,1505095455,-57
2212,1505095455,-62
50,1505095455,-63.5
50,1505095455,-64.5
53,1505095455,-63
8,1505095455,-63.5
1103,1505095455,-60
8,1505095455,-62
53,1505095455,-62
2212,1505095455,-61.5
50,1505095455,-65
51,1505095455,-69
2212,1505095455,-61.5
8,1505095455,-62.5
53,1505095455,-62
8,1505095455,-62
53,1505095455,-62
2212,1505095455,-61.5
41,1505095455,-69
2212,1505095455,-61.5
53,1505095455,-62
50,1505095455,-67.5
8,1505095455,-65.5
53,1505095455,-61.5
2212,1505095455,-62.5
41,1505095455,-69.5
3313,1505095455,-67.5
8,1505095456,-68
1113,1505095456,-59
53,1505095456,-63
53,1505095456,-62.5
1113,1505095456,-58.5
3313,1505095456,-68
2212,1505095456,-63.5
3309,1505095456,-67.5
1103,1505095456,-59.5
53,1505095456,-62
53,1505095456,-62
1103,1505095456,-58.5
50,1505095456,-66.5
2212,1505095456,-64
43,1505095456,-68.5
43,1505095456,-68
3309,1505095456,-67
53,1505095456,-63
50,1505095456,-65
53,1505095456,-64
2212,1505095456,-61
50,1505095456,-66.5
2212,1505095456,-61
3309,1505095457,-68.5
3313,1505095457,-68.5
50,1505095457,-62.5
53,1505095457,-64.5
1121,1505095457,-61
53,1505095457,-63.5
50,1505095457,-62
2212,1505095457,-61.5
3313,1505095457,-69
50,1505095457,-67
46,1505095457,-69
2212,1505095457,-60.5
53,1505095457,-62.5
53,1505095457,-64
3313,1505095457,-68.5
2212,1505095457,-62.5
2212,1505095457,-62.5
53,1505095457,-62.5
53,1505095457,-62.5
2212,1505095457,-63.5
3313,1505095457,-67
43,1505095457,-65
43,1505095457,-64.5
53,1505095457,-61.5
1103,1505095457,-58.5
53,1505095457,-61.5
1103,1505095457,-57.5
2212,1505095457,-61.5
50,1505095457,-66
46,1505095458,-69.5
3313,1505095458,-65.5
2212,1505095458,-61.5
53,1505095458,-61.5
53,1505095458,-60.5
50,1505095458,-65.5
3313,1505095458,-66
46,1505095458,-68.5
2212,1505095458,-62.5
41,1505095458,-68.5
3313,1505095458,-65
50,1505095458,-65
43,1505095458,-69
43,1505095458,-69.5
53,1505095458,-61.5
53,1505095458,-61.5
3313,1505095458,-65.5
50,1505095458,-65.5
2212,1505095458,-61.5
51,1505095458,-69.5
2212,1505095458,-62
50,1505095458,-66
3313,1505095458,-65
2228,1505095458,-65
53,1505095458,-61.5
50,1505095458,-65.5
8,1505095458,-67.5
53,1505095458,-62.5
50,1505095458,-64
2212,1505095458,-61.5
3313,1505095458,-66.5
46,1505095458,-69.5
50,1505095458,-64.5
2212,1505095458,-61.5
53,1505095459,-62
8,1505095459,-66.5
53,1505095459,-62
2212,1505095459,-62
50,1505095459,-64
46,1505095459,-69
3313,1505095459,-67.5
50,1505095459,-64
2212,1505095459,-62
53,1505095459,-62
53,1505095459,-62.5
50,1505095459,-64
2212,1505095459,-61.5
3313,1505095459,-67.5
2212,1505095459,-62.5
50,1505095459,-64
53,1505095459,-62
53,1505095459,-63
2212,1505095459,-61.5
50,1505095459,-65
3313,1505095459,-66.5
50,1505095459,-63.5
2212,1505095459,-61.5
53,1505095459,-63
53,1505095459,-62
50,1505095459,-64
2212,1505095459,-61
3313,1505095459,-65
46,1505095459,-68
2212,1505095459,-62
50,1505095459,-64
3313,1505095459,-66
53,1505095459,-62
53,1505095459,-63
50,1505095459,-63
2212,1505095459,-62
46,1505095459,-68.5
3313,1505095459,-66
50,1505095459,-64.5
2212,1505095459,-61.5
53,1505095460,-63
50,1505095460,-66
53,1505095460,-63.5
2212,1505095460,-61
2212,1505095460,-61.5
3313,1505095460,-66
50,1505095460,-65.5
46,1505095460,-69
2212,1505095460,-61.5
53,1505095460,-62.5
53,1505095460,-63
2212,1505095460,-61
50,1505095460,-63.5
46,1505095460,-69
3313,1505095460,-66
50,1505095460,-65
2212,1505095460,-60
53,1505095460,-62
53,1505095460,-62.5
3313,1505095460,-65
2212,1505095460,-61
50,1505095460,-64
46,1505095460,-68
3313,1505095460,-65
50,1505095460,-64.5
2212,1505095460,-60.5
2212,1505095460,-64
53,1505095460,-63
53,1505095460,-62
2212,1505095460,-60.5
3313,1505095460,-64
50,1505095460,-65.5
46,1505095460,-68
2212,1505095460,-60.5
3313,1505095460,-64.5
53,1505095461,-63
50,1505095461,-67
53,1505095461,-63.5
3313,1505095461,-65.5
2212,1505095461,-60.5
46,1505095461,-68.5
50,1505095461,-65
3313,1505095461,-65.5
2212,1505095461,-60.5
50,1505095461,-65
43,1505095461,-69.5
53,1505095461,-62.5
53,1505095461,-62
50,1505095461,-65
2212,1505095461,-61
3313,1505095461,-65
2212,1505095461,-60.5
3313,1505095461,-65
50,1505095461,-64.5
1121,1505095461,-56.5
43,1505095461,-69.5
1121,1505095461,-55.5
53,1505095461,-62.5
53,1505095461,-62
2212,1505095461,-61
50,1505095461,-64
3313,1505095461,-65
35,1505095461,-66
3309,1505095461,-68.5
2212,1505095461,-58.5
3313,1505095461,-64.5
50,1505095461,-64.5
1121,1505095461,-53
2212,1505095461,-64
1121,1505095461,-53.5
53,1505095461,-62.5
50,1505095461,-67
53,1505095461,-62
50,1505095461,-65.5
3313,1505095461,-66
2212,1505095461,-61
46,1505095462,-68
35,1505095462,-66
3313,1505095462,-65.5
50,1505095462,-64.5
2212,1505095462,-61.5
1121,1505095462,-56
2212,1505095462,-64
3332,1505095462,-67.5
53,1505095462,-62
50,1505095462,-66
53,1505095462,-62
2212,1505095462,-61.5
3313,1505095462,-64.5
50,1505095462,-64.5
46,1505095462,-68
3313,1505095462,-65.5
2212,1505095462,-61.5
50,1505095462,-64.5
53,1505095462,-62.5
53,1505095462,-62.5
2212,1505095462,-61
50,1505095462,-63.5
3313,1505095462,-66.5
46,1505095462,-68
2212,1505095462,-61
50,1505095462,-65
1121,1505095462,-56.5
43,1505095462,-69.5
1121,1505095462,-58.5
53,1505095462,-61
53,1505095462,-61.5
2212,1505095462,-61
50,1505095462,-64.5
46,1505095462,-68
3313,1505095462,-66
35,1505095462,-66.5
2212,1505095462,-61
50,1505095462,-64
2212,1505095462,-65
53,1505095462,-61
50,1505095463,-66.5
53,1505095463,-62
50,1505095463,-66.5
50,1505095463,-66.5
3313,1505095463,-66
2212,1505095463,-61
50,1505095463,-64.5
46,1505095463,-67.5
2212,1505095463,-61
3313,1505095463,-65.5
50,1505095463,-64
43,1505095463,-69.5
53,1505095463,-61.5
50,1505095463,-66
53,1505095463,-62
50,1505095463,-64
2212,1505095463,-61
46,1505095463,-67
3313,1505095463,-66.5
50,1505095463,-64.5
2212,1505095463,-62
2212,1505095463,-63.5
53,1505095463,-61.5
53,1505095463,-61.5
3313,1505095463,-64
46,1505095463,-64
2212,1505095463,-63.5
50,1505095463,-67.5
3313,1505095463,-64
46,1505095463,-64.5
43,1505095463,-69.5
53,1505095463,-61
53,1505095463,-61.5
46,1505095463,-64.5
2212,1505095463,-62.5
3313,1505095463,-67
50,1505095463,-65
46,1505095463,-66.5
2212,1505095463,-65.5
1103,1505095464,-59
53,1505095464,-61
1103,1505095464,-59.5
53,1505095464,-60
2212,1505095464,-60.5
50,1505095464,-64.5
3313,1505095464,-66.5
46,1505095464,-68
2212,1505095464,-61
50,1505095464,-65
1103,1505095464,-58
53,1505095464,-61.5
1103,1505095464,-57.5
53,1505095464,-61
2212,1505095464,-61.5
1121,1505095464,-54
46,1505095464,-66
3332,1505095464,-62.5
50,1505095464,-66
35,1505095464,-65
3313,1505095464,-66.5
3332,1505095464,-62.5
1121,1505095464,-53.5
2212,1505095464,-62.5
1121,1505095464,-55.5
3332,1505095464,-64.5
43,1505095464,-69.5
3332,1505095464,-62
1121,1505095464,-54.5
1103,1505095464,-58
53,1505095464,-61
53,1505095464,-61.5
1103,1505095464,-58
1121,1505095464,-55.5
35,1505095464,-64.5
50,1505095464,-66
2212,1505095464,-62.5
1121,1505095464,-57
53,1505095464,-61
1103,1505095464,-59.5
53,1505095464,-61
46,1505095464,-66.5
50,1505095464,-66
2212,1505095464,-63
3313,1505095464,-66
46,1505095464,-66
1121,1505095465,-58.5
1121,1505095465,-55.5
53,1505095465,-61
1121,1505095465,-49
3332,1505095465,-64
1121,1505095465,-50.5
53,1505095465,-61
3332,1505095465,-64.5
3313,1505095465,-65
50,1505095465,-67.5
2212,1505095465,-62.5
46,1505095465,-67
3313,1505095465,-65
53,1505095465,-61
1121,1505095465,-53
1121,1505095465,-53.5
53,1505095465,-60.5
2212,1505095465,-62
50,1505095465,-66
3313,1505095465,-65.5
46,1505095465,-67
2212,1505095465,-62
50,1505095465,-66
53,1505095465,-62
53,1505095465,-62.5
1121,1505095465,-58
8,1505095465,-62
2212,1505095465,-60
46,1505095465,-68.5
3313,1505095465,-66.5
50,1505095465,-65.5
2212,1505095465,-61
8,1505095465,-63.5
1121,1505095465,-56.5
1121,1505095465,-58.5
1121,1505095465,-59
53,1505095465,-60
8,1505095465,-66.5
53,1505095465,-60
1121,1505095465,-57
46,1505095465,-65
2212,1505095465,-61.5
3313,1505095465,-64
50,1505095465,-66
35,1505095466,-64.5
3313,1505095466,-63.5
2212,1505095466,-62
1121,1505095466,-56
43,1505095466,-69.5
1121,1505095466,-55.5
53,1505095466,-62
1121,1505095466,-58
53,1505095466,-62
3313,1505095466,-64
2212,1505095466,-61.5
50,1505095466,-65.5
46,1505095466,-69
2212,1505095466,-62.5
3313,1505095466,-63.5
50,1505095466,-63.5
43,1505095466,-64.5
50,1505095466,-62.5
43,1505095466,-64.5
1121,1505095466,-60.5
53,1505095466,-63.5
1121,1505095466,-57.5
53,1505095466,-63.5
3313,1505095466,-62.5
2212,1505095466,-61.5
46,1505095466,-67
35,1505095466,-64
50,1505095466,-67
2212,1505095466,-61
3313,1505095466,-63.5
43,1505095466,-65
50,1505095466,-63
2212,1505095466,-63
50,1505095466,-64
43,1505095466,-64
53,1505095466,-63.5
53,1505095466,-63.5
35,1505095466,-63
3313,1505095466,-65
51,1505095466,-67
2212,1505095466,-62.5
46,1505095466,-68
35,1505095466,-62.5
3313,1505095466,-65
2212,1505095466,-61
43,1505095466,-65
2214,1505095466,-65
50,1505095466,-66.5
43,1505095466,-65
2214,1505095466,-64.5
2212,1505095466,-64
1103,1505095467,-59
53,1505095467,-65.5
1103,1505095467,-59.5
35,1505095467,-65
2212,1505095467,-63.5
51,1505095467,-68
43,1505095467,-65
50,1505095467,-63.5
50,1505095467,-63.5
43,1505095467,-65.5
53,1505095467,-62
53,1505095467,-63
3313,1505095467,-65
1121,1505095467,-58
2212,1505095467,-62.5
46,1505095467,-69.5
51,1505095467,-67
2212,1505095467,-61
3313,1505095467,-65
43,1505095467,-65
50,1505095467,-66
43,1505095467,-65
8,1505095467,-65.5
2212,1505095467,-62
3313,1505095467,-63.5
46,1505095467,-68
3313,1505095467,-63.5
43,1505095467,-64
1105,1505095467,-57.5
8,1505095467,-68
43,1505095467,-65.5
2228,1505095467,-62
2228,1505095467,-61.5
53,1505095467,-64
1103,1505095467,-60.5
53,1505095468,-62.5
1103,1505095468,-58.5
3313,1505095468,-64
2212,1505095468,-60.5
1121,1505095468,-59
41,1505095468,-68.5
3313,1505095468,-64
2212,1505095468,-60.5
2228,1505095468,-63
2228,1505095468,-63
53,1505095468,-59.5
50,1505095468,-65.5
53,1505095468,-59
50,1505095468,-67.5
3313,1505095468,-63.5
2212,1505095468,-62
41,1505095468,-67.5
50,1505095468,-66.5
2212,1505095468,-61
3313,1505095468,-64.5
50,1505095468,-67.5
2213,1505095468,-63.5
2228,1505095468,-62.5
51,1505095468,-68
2228,1505095468,-63
53,1505095468,-60.5
53,1505095468,-61
3313,1505095468,-66.5
2212,1505095468,-64.5
2228,1505095468,-63.5
53,1505095468,-60
53,1505095468,-60.5
3313,1505095468,-68.5
2212,1505095468,-64.5
43,1505095469,-66.5
2228,1505095469,-64
53,1505095469,-63
50,1505095469,-66.5
3313,1505095469,-67
50,1505095469,-66
3401,1505095469,-68.5
2213,1505095469,-63
43,1505095469,-69
51,1505095469,-68
53,1505095469,-64
50,1505095469,-66
53,1505095469,-63
3313,1505095469,-63.5
1103,1505095469,-55
2212,1505095469,-62.5
3313,1505095469,-64
1103,1505095469,-55
2228,1505095469,-63
53,1505095469,-63.5
50,1505095469,-66
