csv,epc,type,rssi
20180216165206312-5-2.02071-02102-02076-02075-02098_4211-4964-5272.csv,0x000000000000000000002071,count,15.0
20180216165206312-5-2.02071-02102-02076-02075-02098_4211-4964-5272.csv,0x000000000000000000002071,mean,-41.46666666666667
20180216165206312-5-2.02071-02102-02076-02075-02098_4211-4964-5272.csv,0x000000000000000000002071,std,2.348758537327042
20180216165206312-5-2.02071-02102-02076-02075-02098_4211-4964-5272.csv,0x000000000000000000002071,min,-46.0
20180216165206312-5-2.02071-02102-02076-02075-02098_4211-4964-5272.csv,0x000000000000000000002071,25%,-43.25
20180216165206312-5-2.02071-02102-02076-02075-02098_4211-4964-5272.csv,0x000000000000000000002071,50%,-41.0
20180216165206312-5-2.02071-02102-02076-02075-02098_4211-4964-5272.csv,0x000000000000000000002071,75%,-39.5
20180216165206312-5-2.02071-02102-02076-02075-02098_4211-4964-5272.csv,0x000000000000000000002071,max,-38.5
20180216165206312-5-2.02071-02102-02076-02075-02098_4211-4964-5272.csv,0x000000000000000000002075,count,20.0
20180216165206312-5-2.02071-02102-02076-02075-02098_4211-4964-5272.csv,0x000000000000000000002075,mean,-40.275
20180216165206312-5-2.02071-02102-02076-02075-02098_4211-4964-5272.csv,0x000000000000000000002075,std,6.691461566409601
20180216165206312-5-2.02071-02102-02076-02075-02098_4211-4964-5272.csv,0x000000000000000000002075,min,-51.0
20180216165206312-5-2.02071-02102-02076-02075-02098_4211-4964-5272.csv,0x000000000000000000002075,25%,-45.0
20180216165206312-5-2.02071-02102-02076-02075-02098_4211-4964-5272.csv,0x000000000000000000002075,50%,-43.25
20180216165206312-5-2.02071-02102-02076-02075-02098_4211-4964-5272.csv,0x000000000000000000002075,75%,-33.625
20180216165206312-5-2.02071-02102-02076-02075-02098_4211-4964-5272.csv,0x000000000000000000002075,max,-30.0
20180216165206312-5-2.02071-02102-02076-02075-02098_4211-4964-5272.csv,0x000000000000000000002076,count,11.0
20180216165206312-5-2.02071-02102-02076-02075-02098_4211-4964-5272.csv,0x000000000000000000002076,mean,-40.45454545454545
20180216165206312-5-2.02071-02102-02076-02075-02098_4211-4964-5272.csv,0x000000000000000000002076,std,5.101247619232699
20180216165206312-5-2.02071-02102-02076-02075-02098_4211-4964-5272.csv,0x000000000000000000002076,min,-45.5
20180216165206312-5-2.02071-02102-02076-02075-02098_4211-4964-5272.csv,0x000000000000000000002076,25%,-44.0
20180216165206312-5-2.02071-02102-02076-02075-02098_4211-4964-5272.csv,0x000000000000000000002076,50%,-43.0
20180216165206312-5-2.02071-02102-02076-02075-02098_4211-4964-5272.csv,0x000000000000000000002076,75%,-34.5
20180216165206312-5-2.02071-02102-02076-02075-02098_4211-4964-5272.csv,0x000000000000000000002076,max,-33.5
20180216165206312-5-2.02071-02102-02076-02075-02098_4211-4964-5272.csv,0x000000000000000000002098,count,15.0
20180216165206312-5-2.02071-02102-02076-02075-02098_4211-4964-5272.csv,0x000000000000000000002098,mean,-41.13333333333333
20180216165206312-5-2.02071-02102-02076-02075-02098_4211-4964-5272.csv,0x000000000000000000002098,std,5.319998209809939
20180216165206312-5-2.02071-02102-02076-02075-02098_4211-4964-5272.csv,0x000000000000000000002098,min,-48.0
20180216165206312-5-2.02071-02102-02076-02075-02098_4211-4964-5272.csv,0x000000000000000000002098,25%,-44.5
