epc	name
0x000000000000000000000055	ビニール傘1
0x000000000000000000000056	天然水（PET2L）1
0x000000000000000000000057	天然水（PET2L）1
0x000000000000000000000058	オレンジ天然水（PET500ml）
0x000000000000000000000059	オレンジ天然水（PET500ml）
0x000000000000000000003401	おにぎり（丸型）2
0x000000000000000000003402	おにぎり（丸型）2
0x000000000000000000003403	おにぎり（丸型）2
0x000000000000000000003404	おにぎり（三角型）2
0x000000000000000000003405	おにぎり（三角型）2
0x000000000000000000003406	おにぎり（三角型）2
0x000000000000000000003409	フリスク（缶）
