csv,epc,type,rssi
20180213145627770-5-2.08801-07472-07473-07474-07475_2069-2778-2947.csv,0x000000000000000000004001,count,1.0
20180213145627770-5-2.08801-07472-07473-07474-07475_2069-2778-2947.csv,0x000000000000000000004001,mean,-57.5
20180213145627770-5-2.08801-07472-07473-07474-07475_2069-2778-2947.csv,0x000000000000000000004001,std,
20180213145627770-5-2.08801-07472-07473-07474-07475_2069-2778-2947.csv,0x000000000000000000004001,min,-57.5
20180213145627770-5-2.08801-07472-07473-07474-07475_2069-2778-2947.csv,0x000000000000000000004001,25%,-57.5
20180213145627770-5-2.08801-07472-07473-07474-07475_2069-2778-2947.csv,0x000000000000000000004001,50%,-57.5
20180213145627770-5-2.08801-07472-07473-07474-07475_2069-2778-2947.csv,0x000000000000000000004001,75%,-57.5
20180213145627770-5-2.08801-07472-07473-07474-07475_2069-2778-2947.csv,0x000000000000000000004001,max,-57.5
20180213145627770-5-2.08801-07472-07473-07474-07475_2069-2778-2947.csv,0x000000000000000000004002,count,1.0
20180213145627770-5-2.08801-07472-07473-07474-07475_2069-2778-2947.csv,0x000000000000000000004002,mean,-61.0
20180213145627770-5-2.08801-07472-07473-07474-07475_2069-2778-2947.csv,0x000000000000000000004002,std,
20180213145627770-5-2.08801-07472-07473-07474-07475_2069-2778-2947.csv,0x000000000000000000004002,min,-61.0
20180213145627770-5-2.08801-07472-07473-07474-07475_2069-2778-2947.csv,0x000000000000000000004002,25%,-61.0
20180213145627770-5-2.08801-07472-07473-07474-07475_2069-2778-2947.csv,0x000000000000000000004002,50%,-61.0
20180213145627770-5-2.08801-07472-07473-07474-07475_2069-2778-2947.csv,0x000000000000000000004002,75%,-61.0
20180213145627770-5-2.08801-07472-07473-07474-07475_2069-2778-2947.csv,0x000000000000000000004002,max,-61.0
20180213145627770-5-2.08801-07472-07473-07474-07475_2069-2778-2947.csv,0x000000000000000000004005,count,15.0
20180213145627770-5-2.08801-07472-07473-07474-07475_2069-2778-2947.csv,0x000000000000000000004005,mean,-60.93333333333333
20180213145627770-5-2.08801-07472-07473-07474-07475_2069-2778-2947.csv,0x000000000000000000004005,std,2.6177052837133807
20180213145627770-5-2.08801-07472-07473-07474-07475_2069-2778-2947.csv,0x000000000000000000004005,min,-65.5
20180213145627770-5-2.08801-07472-07473-07474-07475_2069-2778-2947.csv,0x000000000000000000004005,25%,-62.75
20180213145627770-5-2.08801-07472-07473-07474-07475_2069-2778-2947.csv,0x000000000000000000004005,50%,-60.5
20180213145627770-5-2.08801-07472-07473-07474-07475_2069-2778-2947.csv,0x000000000000000000004005,75%,-59.75
20180213145627770-5-2.08801-07472-07473-07474-07475_2069-2778-2947.csv,0x000000000000000000004005,max,-55.5
20180213145627770-5-2.08801-07472-07473-07474-07475_2069-2778-2947.csv,0x000000000000000000004006,count,16.0
20180213145627770-5-2.08801-07472-07473-07474-07475_2069-2778-2947.csv,0x000000000000000000004006,mean,-62.3125
20180213145627770-5-2.08801-07472-07473-07474-07475_2069-2778-2947.csv,0x000000000000000000004006,std,1.796988221070652
20180213145627770-5-2.08801-07472-07473-07474-07475_2069-2778-2947.csv,0x000000000000000000004006,min,-66.5
20180213145627770-5-2.08801-07472-07473-07474-07475_2069-2778-2947.csv,0x000000000000000000004006,25%,-63.5
20180213145627770-5-2.08801-07472-07473-07474-07475_2069-2778-2947.csv,0x000000000000000000004006,50%,-62.0
20180213145627770-5-2.08801-07472-07473-07474-07475_2069-2778-2947.csv,0x000000000000000000004006,75%,-61.5
20180213145627770-5-2.08801-07472-07473-07474-07475_2069-2778-2947.csv,0x000000000000000000004006,max,-59.5
