csv,epc,type,rssi
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x106020249017772789051840,mean,-69.25
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x106020249017772789051840,std,0.3535533905932738
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x106020249017772789051840,min,-69.5
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x106020249017772789051840,25%,-69.375
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x106020249017772789051840,50%,-69.25
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x106020249017772789051840,75%,-69.125
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x106020249017772789051840,max,-69.0
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x106020249021021046921844,count,2.0
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x106020249021021046921844,mean,-67.25
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x106020249021021046921844,std,1.0606601717798212
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x106020249021021046921844,min,-68.0
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x106020249021021046921844,25%,-67.625
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x106020249021021046921844,50%,-67.25
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x106020249021021046921844,75%,-66.875
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x106020249021021046921844,max,-66.5
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x106020349010851617841853,count,1.0
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x106020349010851617841853,mean,-67.0
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x106020349010851617841853,std,
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x106020349010851617841853,min,-67.0
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x106020349010851617841853,25%,-67.0
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x106020349010851617841853,50%,-67.0
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x106020349010851617841853,75%,-67.0
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x106020349010851617841853,max,-67.0
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x106020349010851617841857,count,9.0
