csv,epc,type,rssi
20180125133948418-9784062938204_3095-3264-3435.csv,0x106020349010851617841860,max,-69.0
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010145263633097591867,count,1.0
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010145263633097591867,mean,-64.5
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010145263633097591867,std,
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010145263633097591867,min,-64.5
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010145263633097591867,25%,-64.5
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010145263633097591867,50%,-64.5
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010145263633097591867,75%,-64.5
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010145263633097591867,max,-64.5
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010145263633097591868,count,24.0
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010145263633097591868,mean,-60.416666666666664
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010145263633097591868,std,1.5788456616111675
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010145263633097591868,min,-67.0
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010145263633097591868,25%,-60.5
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010145263633097591868,50%,-60.5
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010145263633097591868,75%,-59.875
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010145263633097591868,max,-58.0
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010145263633097591869,count,24.0
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010145263633097591869,mean,-59.104166666666664
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010145263633097591869,std,2.7818478636028754
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010145263633097591869,min,-67.0
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010145263633097591869,25%,-59.125
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010145263633097591869,50%,-58.25
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010145263633097591869,75%,-57.5
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010145263633097591869,max,-56.5
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010145263633097591872,count,2.0
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010145263633097591872,mean,-69.5
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010145263633097591872,std,0.0
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010145263633097591872,min,-69.5
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010145263633097591872,25%,-69.5
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010145263633097591872,50%,-69.5
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010145263633097591872,75%,-69.5
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010145263633097591872,max,-69.5
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010145263633097661861,count,3.0
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010145263633097661861,mean,-68.33333333333333
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010145263633097661861,std,0.7637626158259733
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010145263633097661861,min,-69.0
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010145263633097661861,25%,-68.75
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010145263633097661861,50%,-68.5
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010145263633097661861,75%,-68.0
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010145263633097661861,max,-67.5
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010145263633097661864,count,14.0
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010145263633097661864,mean,-63.285714285714285
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010145263633097661864,std,1.9875989159157463
